Oman,Oman,Omán,Oman
Pakistan,Pakistan,Pakistán,Pakistan
Palau,Palau,Palau,Palaos
Palestinian territories,Palästina,Palestina,not found
Panama,Panama,Panamá,Panamá
Papua New Guinea,Papua-Neuguinea,Papúa Nueva Guinea,Papouasie-Nouvelle-Guinée
Paraguay,Paraguay,Paraguay,Paraguay
Persia,not found,not found,not found
Peru,Peru,Perú,Pérou
Philippines,Philippinen,Filipinas,Philippines
Pitcairn Islands,not found,not found,not found
Poland,Polen,Polonia,Pologne
Portugal,Portugal,Portugal,Portugal
Principality of Monaco,Fürstentum Monaco,Principado de Mónaco,Principauté de Monaco
Puerto Rico,not found,Puerto Rico,not found
Qatar,Katar,Qatar,Qatar
Reunion,Réunion,not found,not found
Romania,Rumänien,Rumanía,Roumanie
Russia,Russland,Rusia,Russie
Rwanda,Ruanda,Ruanda,Rwanda
Saint Helena,Sankt Helena,not found,not found
Saint Kitts and Nevis,Saint Kitts und Nevis,San Cristóbal y Nieves,Saint-Christophe-et-Niévès
Saint Lucia,Saint Lucia,Santa Lucía,Sainte-Lucie
Saint Pierre and Miquelon,Saint Pierre und Miquelon,not found,not found
Saint Vincent and the Grenadines,Saint Vincent und die Grenadinen,San Vicente y las Granadinas,Saint-Vincent-et-les Grenadines
Samoa,Samoa,Samoa,Samoa
San Marino,San Marino,San Marino,Saint-Marin
São Tomé and Príncipe,São Tomé und Príncipe,Santo Tomé y Príncipe,São Tomé-et-Príncipe
Saudi Arabia,not found,not found,not found
Scotland,Schottland,Escocia,Écosse
Senegal,Senegal,Senegal,Sénégal
Serbia,Serbien,Serbia,Serbie
Seychelles,Seychellen,Seychelles,Seychelles
Sierra Leone,Sierra Leone,Sierra Leona,Sierra Leone
Singapore,Singapur,Singapur,Singapour
Slovakia,Slowakei,Eslovaquia,Slovaquie
Slovenia,Slowenien,Eslovenia,Slovénie
Solomon Islands,Salomonen,Islas Salomón,Îles Salomon
Somalia,Somalia,Somalia,Somalie
Somaliland,not found,not found,not found
South Africa,Südafrika,Sudáfrica,Afrique du Sud
South Georgia and South Sandwich Islands,Südgeorgien und Südliche Sandwichinseln,not found,not found
South Korea,Südkorea,Corea del Sur,Corée du Sud
South Ossetia,Südossetien,República de Osetia del Sur,L'Ossétie du Sud
South Sudan,not found,not found,not found
Spain,Spanien,Sesé,Espagne
Sri Lanka,Ceylon,Ceilán,Ceylan
Sudan,Sudan,Sudán,Soudan
Suriname,Niederländisch-Guyana,Suriname,Suriname
Swaziland,Swasiland,Swazilandia,Swaziland
Sweden,Schweden,Suecia,Suède
Switzerland,Schweiz,Suiza,Suisse
Syria,Syrien,Siria,Syrie
Taiwan,Taiwan,Taiwán,Taïwan
Tajikistan,Tadschikistan,Tayikistán,Tadjikistan
Tanzania,Tansania,Tanzania,Tanzanie
Thailand,Siam,Tailandia,Thaïlande
The Gambia,Gambia,Gambia,Gambie
Togo,Togo,Togo,Togo
Tokelau Islands,Tokelau,not found,not found
Tonga,Tonga,Tonga,Tonga
Transnistria,Transnistrien,not found,not found
Trinidad and Tobago,Trinidad und Tobago,Trinidad y Tobago,Trinité-et-Tobago
Tunisia,Tunesien,Túnez,Tunisie
Turkey,Türkei,Turquía,Turquie
Northern Cyprus,Nordzypern,not found,not found
Turkmenistan,not found,not found,not found
Turks & Caicos Islands,Turks- und Caicosinseln,not found,not found
Tuvalu,Tuvalu,Tuvalu,Tuvalu
Uganda,Uganda,Uganda,Ouganda
Ukraine,Ukraine,Ucrania,Ukraine
United Arab Emirates,Vereinigte Arabische Emirate,Emiratos Árabes Unidos,Émirats arabes unis
United Kingdom (UK),Vereinigtes Königreich,Reino Unido,Royaume-Uni
United Kingdom of Great Britain and Northern Ireland,not found,not found,not found
United States of America (U.S.),Vereinigte Staaten von Amerika,Estados Unidos de América,États-Unis d'Amérique
United States Virgin Islands,Amerikanische Jungferninseln,not found,not found
Uruguay,Uruguay,Uruguay,Uruguay
Uzbekistan,Usbekistan,Uzbekistán,Ouzbékistan
Vanuatu,Neue Hebriden,Nuevas Hébridas,Nouvelles-Hébrides
Vatican City,Vatikanstadt,Vaticano,Vatican
Venezuela,Venezuela,Venezuela,Venezuela
Vietnam,Vietnam,Vietnam,Vietnam
Wales,Wales,Gales,Pays de Galles
Wallis and Futuna,Wallis und Futuna,not found,not found
Western Sahara,West-Sahara,Sahara Occidental,not found
Yemen,Jemen,Yemen,Yémen
Yugoslavia,not found,not found,not found
Zambia,Sambia,Zambia,Zambie
Zimbabwe,Simbabwe,Zimbabwe,Zimbabwe
